Segment,State,Category,SubCategory,Sales,Quantity,Discount,Profit,Shipping Cost
Home Office,Rhode Island,Technology,Accessories,1687.8,4,0,742.632,234.73
Corporate,Maryland,Office Supplies,Storage,1633.14,9,0,473.6106,232.86
Home Office,California,Furniture,Bookcases,1497.666,2,0.15,140.9568,231.11
Consumer,New Jersey,Technology,Phones,1322.93,7,0,357.1911,229.09
Corporate,Indiana,Furniture,Tables,2678.94,6,0,241.1046,228.95
Consumer,California,Furniture,Tables,1478.272,8,0.2,92.392,227.79
Home Office,Illinois,Technology,Copiers,959.984,2,0.2,335.9944,227.5
Consumer,California,Furniture,Tables,892.136,7,0.2,111.517,226.26
Corporate,New Jersey,Office Supplies,Binders,1793.98,2,0,843.1706,225.42
Corporate,Indiana,Office Supplies,Storage,909.12,8,0,9.0912,225.16
Corporate,North Carolina,Office Supplies,Appliances,942.784,4,0.2,94.2784,223.51
Consumer,New York,Technology,Accessories,1619.91,9,0,97.1946,223.31
Corporate,Rhode Island,Technology,Copiers,1999.96,4,0,899.982,223.21
Home Office,New York,Technology,Copiers,799.984,2,0.2,249.995,223.13
Corporate,New York,Office Supplies,Binders,1087.936,8,0.2,353.5792,221.62
Consumer,Ohio,Technology,Machines,1799.994,2,0.7,-2639.9912,219.62
Corporate,Illinois,Furniture,Bookcases,825.174,9,0.3,-117.882,219.28
Consumer,New York,Furniture,Chairs,2563.056,8,0.1,313.2624,219.15
Consumer,Michigan,Technology,Copiers,599.98,2,0,209.993,218.9
Home Office,California,Furniture,Bookcases,1198.33,10,0.15,70.49,218.62
Consumer,California,Technology,Phones,1295.84,4,0.2,145.782,218.4
Corporate,California,Furniture,Chairs,1159.056,9,0.2,43.4646,217.38
Consumer,California,Technology,Accessories,1649.95,5,0,659.98,217.29
Consumer,California,Office Supplies,Binders,2022.272,8,0.2,682.5168,215.83
Home Office,Washington,Furniture,Chairs,2003.92,5,0.2,125.245,215.68
Corporate,Virginia,Office Supplies,Appliances,826.11,3,0,322.1829,215.64
Consumer,New York,Furniture,Chairs,589.41,5,0.1,-6.549,214.81
Home Office,Vermont,Technology,Phones,1294.75,5,0,336.635,214.54
Home Office,Oklahoma,Technology,Phones,1439.92,8,0,374.3792,214.24
Consumer,Maryland,Office Supplies,Appliances,901.95,3,0,297.6435,214.01
Consumer,Virginia,Furniture,Tables,1256.22,6,0,75.3732,212.94
Corporate,New York,Technology,Machines,5199.96,4,0,1351.9896,212.76
Corporate,Pennsylvania,Technology,Accessories,1119.888,14,0.2,209.979,212.12
Consumer,Washington,Technology,Copiers,1799.97,3,0,701.9883,211.9
Corporate,Wisconsin,Furniture,Chairs,1454.9,5,0,378.274,211.16
Consumer,Pennsylvania,Office Supplies,Binders,538.194,2,0.7,-412.6154,209.3
Corporate,Texas,Technology,Machines,2519.958,7,0.4,-251.9958,208.09
Home Office,California,Technology,Phones,3023.928,9,0.2,226.7946,207.32
Corporate,New York,Furniture,Chairs,1282.41,5,0.1,213.735,206.87
Corporate,New York,Furniture,Furnishings,756.8,5,0,75.68,206.61
Home Office,California,Furniture,Chairs,1487.04,5,0.2,148.704,205.45
Corporate,Ohio,Technology,Copiers,839.988,2,0.4,69.999,205.23
Corporate,New York,Office Supplies,Binders,895.92,5,0.2,302.373,203.94
Corporate,Washington,Office Supplies,Binders,2793.528,9,0.2,942.8157,203.72
Consumer,North Carolina,Office Supplies,Appliances,569.536,4,0.2,64.0728,203.22
Home Office,New York,Technology,Phones,2279.96,4,0,592.7896,202.77
Corporate,Arizona,Furniture,Chairs,899.136,4,0.2,-146.1096,202.24
Corporate,Florida,Technology,Phones,783.96,5,0.2,78.396,202.09
Consumer,North Carolina,Technology,Machines,1299.99,2,0.5,-571.9956,199.8
Home Office,Colorado,Technology,Machines,703.71,6,0.7,-938.28,199.5
Corporate,Maryland,Office Supplies,Storage,544.38,3,0,157.8702,196.07
Home Office,New York,Office Supplies,Storage,900.08,4,0,117.0104,195.54
Consumer,Massachusetts,Office Supplies,Storage,714.3,5,0,207.147,195.49
Corporate,California,Furniture,Tables,510.24,3,0.2,6.378,195.43
Consumer,Kentucky,Office Supplies,Storage,826,5,0,214.76,194.34
Consumer,California,Technology,Copiers,959.984,2,0.2,335.9944,193.89
Consumer,California,Technology,Machines,2548.56,6,0.2,286.713,193.59
Consumer,Washington,Office Supplies,Binders,3266.376,3,0.2,1061.5722,193.2
Consumer,Ohio,Technology,Phones,629.958,7,0.4,94.4937,192.33
Corporate,Nevada,Technology,Machines,2396.4,10,0.2,179.73,192.24
Corporate,Georgia,Office Supplies,Appliances,1245.86,7,0,361.2994,192.04
Consumer,Washington,Furniture,Bookcases,704.9,5,0,56.392,189.88
Consumer,Virginia,Furniture,Furnishings,1196.86,7,0,119.686,189.58
Home Office,Illinois,Technology,Machines,1007.979,3,0.3,43.1991,189.34
Corporate,Rhode Island,Furniture,Tables,637.896,3,0.3,-127.5792,188.95
Consumer,California,Office Supplies,Storage,1325.85,5,0,238.653,187.65
Consumer,Pennsylvania,Technology,Phones,683.988,2,0.4,-113.998,187.42
Corporate,Virginia,Technology,Phones,579.95,5,0,168.1855,187.03
Consumer,Illinois,Technology,Phones,2003.168,4,0.2,250.396,186.65
Corporate,Texas,Technology,Copiers,2399.96,5,0.2,569.9905,185.8
Home Office,Ohio,Technology,Phones,1169.694,3,0.4,-253.4337,185.77
Consumer,Alabama,Furniture,Chairs,1819.86,14,0,163.7874,185.34
Corporate,California,Office Supplies,Storage,559.62,9,0,151.0974,185.31
Corporate,Vermont,Furniture,Bookcases,4404.9,5,0,1013.127,184.44
Corporate,Michigan,Technology,Accessories,619.95,5,0,111.591,181.01
Consumer,California,Technology,Phones,1113.504,12,0.2,125.2692,180.89
Consumer,Indiana,Furniture,Chairs,1424.9,5,0,356.225,180.31
Consumer,Arizona,Office Supplies,Binders,946.764,6,0.7,-694.2936,179.87
Home Office,California,Furniture,Chairs,585.552,3,0.2,73.194,179.73
Consumer,New York,Office Supplies,Binders,1217.568,2,0.2,456.588,179.39
Corporate,Florida,Furniture,Chairs,1013.832,9,0.2,101.3832,178.96
Corporate,Georgia,Office Supplies,Storage,1126.02,3,0,56.301,178.38
Corporate,Indiana,Furniture,Chairs,1925.88,6,0,539.2464,177.72
Consumer,Colorado,Technology,Accessories,447.944,7,0.2,89.5888,177.54
Consumer,Kentucky,Office Supplies,Storage,584.82,9,0,70.1784,177.4
Consumer,North Carolina,Technology,Phones,863.928,9,0.2,86.3928,177.24
Corporate,Texas,Technology,Phones,946.344,7,0.2,118.293,177.2
Consumer,Virginia,Furniture,Tables,1652.94,3,0,314.0586,177.12
Consumer,New York,Furniture,Chairs,2888.127,11,0.1,609.7157,177.06
Corporate,Maryland,Technology,Accessories,826.62,3,0,355.4466,176.78
Consumer,Kentucky,Technology,Copiers,1399.98,2,0,629.991,176.63
Consumer,Oklahoma,Furniture,Furnishings,821.88,6,0,213.6888,176.04
Consumer,New York,Furniture,Chairs,2254.41,5,0.1,375.735,175.2
Consumer,California,Technology,Phones,1679.96,5,0.2,125.997,175.16
Consumer,Pennsylvania,Technology,Accessories,617.976,3,0.2,-7.7247,173.92
Corporate,Florida,Furniture,Chairs,1123.92,5,0.2,-182.637,173.17
Corporate,California,Office Supplies,Appliances,2518.29,9,0,654.7554,173.07
Consumer,California,Office Supplies,Binders,2357.488,7,0.2,884.058,173
Corporate,California,Office Supplies,Storage,1000.02,7,0,290.0058,172.55
Consumer,Texas,Office Supplies,Binders,2177.584,8,0.8,-3701.8928,172.07
Consumer,Utah,Office Supplies,Appliances,1089.75,3,0,305.13,171.65
Home Office,Michigan,Technology,Phones,543.92,8,0,135.98,171.35
Consumer,North Carolina,Technology,Phones,1363.96,5,0.2,85.2475,171.31
Consumer,Texas,Office Supplies,Binders,1088.792,4,0.8,-1850.9464,169.49
Corporate,Illinois,Office Supplies,Binders,442.372,7,0.8,-729.9138,169.09
Home Office,Pennsylvania,Office Supplies,Binders,1141.47,5,0.7,-760.98,166.97
Consumer,Arizona,Furniture,Chairs,933.536,4,0.2,105.0228,166.67
Corporate,New York,Furniture,Chairs,1448.82,10,0.1,209.274,166.37
Consumer,Washington,Furniture,Chairs,561.568,2,0.2,28.0784,165.42
Consumer,North Carolina,Technology,Phones,627.168,4,0.2,70.5564,165.08
Corporate,New York,Office Supplies,Storage,1085.42,7,0,282.2092,164.92
Corporate,Texas,Technology,Phones,1099.96,5,0.2,82.497,164.84
Consumer,California,Technology,Accessories,772.47,3,0,146.7693,164.04
Consumer,New York,Office Supplies,Appliances,1704.56,13,0,511.368,163.94
Consumer,California,Technology,Phones,703.968,4,0.2,87.996,163.91
Corporate,California,Technology,Phones,1487.976,3,0.2,185.997,163.54
Consumer,Washington,Office Supplies,Binders,1471.96,5,0.2,459.9875,163.36
Corporate,Nebraska,Office Supplies,Storage,750.68,2,0,37.534,163
Home Office,Ohio,Office Supplies,Appliances,663.936,4,0.2,82.992,162.74
Consumer,Texas,Technology,Phones,1114.4,7,0.2,376.11,162.5
Consumer,Kentucky,Furniture,Chairs,731.94,3,0,219.582,161.71
Home Office,Texas,Technology,Phones,1718.4,6,0.2,150.36,161.69
Consumer,California,Office Supplies,Appliances,1473.1,5,0,412.468,161.21
Corporate,North Carolina,Technology,Machines,695.7,2,0.5,-27.828,160.19
Home Office,New York,Furniture,Bookcases,626.352,3,0.2,46.9764,160.17
Corporate,Washington,Technology,Machines,837.6,3,0.2,62.82,159.94
Home Office,Maryland,Furniture,Furnishings,1049.2,5,0,272.792,159.11
Consumer,Michigan,Office Supplies,Binders,478.24,8,0,219.9904,158.68
Corporate,Georgia,Office Supplies,Storage,1263.3,6,0,315.825,158.18
Consumer,Illinois,Furniture,Chairs,520.464,2,0.3,-14.8704,157.5
Consumer,Ohio,Technology,Phones,1889.946,9,0.4,-377.9892,157.21
Corporate,California,Furniture,Chairs,885.528,9,0.2,-99.6219,156.8
Consumer,North Dakota,Office Supplies,Storage,704.76,4,0,162.0948,156.62
Consumer,New York,Technology,Phones,979.95,5,0,264.5865,156.62
Corporate,Colorado,Furniture,Tables,727.45,5,0.5,-465.568,156.46
Corporate,California,Office Supplies,Storage,725.84,4,0,210.4936,156.45
Consumer,New York,Technology,Accessories,1071,9,0,171.36,155.74
Consumer,Texas,Furniture,Bookcases,1023.332,5,0.32,-30.098,155.64
Consumer,Delaware,Technology,Phones,391.98,2,0,113.6742,155.34
Consumer,New York,Technology,Phones,979.95,5,0,274.386,155.28
Consumer,Virginia,Furniture,Tables,1441.3,7,0,245.021,155.24
Consumer,Connecticut,Technology,Phones,832.93,7,0,233.2204,155.23
Corporate,New York,Technology,Machines,1035.8,4,0,269.308,154.81
Corporate,California,Furniture,Tables,1322.352,3,0.2,-99.1764,153.52
Consumer,Connecticut,Furniture,Chairs,751.92,4,0,150.384,153.47
Consumer,Texas,Furniture,Chairs,763.28,5,0.3,-21.808,153.02
Corporate,Florida,Office Supplies,Appliances,1158.12,5,0.2,130.2885,152.49
Corporate,Washington,Furniture,Chairs,963.136,4,0.2,108.3528,152.43
Home Office,Arizona,Furniture,Tables,1272.63,6,0.5,-814.4832,152.33
Corporate,New York,Technology,Accessories,899.91,9,0,395.9604,152.26
Consumer,Washington,Office Supplies,Binders,1219.96,5,0.2,381.2375,152.22
Consumer,North Carolina,Technology,Accessories,1012.68,3,0.2,303.804,152.2
Corporate,Connecticut,Furniture,Bookcases,1043.92,4,0,271.4192,152.15
Consumer,Pennsylvania,Furniture,Chairs,786.744,4,0.3,-258.5016,152.11
Consumer,Texas,Technology,Phones,575.968,4,0.2,43.1976,151.89
Home Office,Massachusetts,Technology,Copiers,1199.98,2,0,467.9922,150.76
Home Office,California,Office Supplies,Binders,590.352,6,0.2,206.6232,150.71
Consumer,Pennsylvania,Furniture,Chairs,1228.465,5,0.3,0,150.35
Consumer,California,Furniture,Bookcases,425.833,1,0.15,20.0392,150.07
Corporate,Ohio,Furniture,Tables,1548.99,9,0.4,-464.697,150.02
Consumer,Texas,Furniture,Chairs,899.43,5,0.3,-12.849,149.73
Home Office,Kentucky,Office Supplies,Storage,1443.96,12,0,375.4296,149.54
Consumer,Massachusetts,Office Supplies,Appliances,286.86,7,0,80.3208,148.89
Consumer,Washington,Furniture,Tables,871.4,4,0,148.138,148.12
Consumer,Washington,Furniture,Tables,1298.55,5,0,311.652,146.92
Consumer,Illinois,Technology,Copiers,1439.968,4,0.2,485.9892,146.32
Corporate,Louisiana,Office Supplies,Storage,572.58,6,0,34.3548,146.29
Consumer,New York,Furniture,Bookcases,801.568,2,0.2,-10.0196,146.08
Home Office,Florida,Office Supplies,Binders,398.352,8,0.7,-331.96,146.04
Consumer,Florida,Furniture,Chairs,1125.488,7,0.2,98.4802,145.94
Consumer,New York,Technology,Phones,617.97,3,0,160.6722,145.46
Corporate,California,Technology,Phones,1145.6,4,0.2,100.24,144.85
Corporate,California,Office Supplies,Binders,931.176,3,0.2,314.2719,144.52
Corporate,North Carolina,Technology,Copiers,959.968,4,0.2,119.996,144.32
Consumer,New York,Office Supplies,Storage,1395.54,9,0,362.8404,143.17
Consumer,California,Technology,Accessories,474.95,5,0,142.485,142.96
Consumer,Illinois,Technology,Phones,1979.928,9,0.2,148.4946,142.89
Corporate,Pennsylvania,Technology,Phones,1931.958,7,0.4,-386.3916,142.76
Consumer,New York,Technology,Copiers,2799.944,7,0.2,1014.9797,142.2
Home Office,Wisconsin,Technology,Accessories,399.95,5,0,143.982,142.18
Corporate,Washington,Technology,Accessories,1496.16,9,0,224.424,142.08
Home Office,California,Furniture,Chairs,2676.672,9,0.2,267.6672,141.67
Home Office,Alabama,Office Supplies,Paper,629.1,6,0,301.968,141.52
Consumer,Indiana,Technology,Phones,1454.49,9,0,378.1674,141.37
Corporate,Louisiana,Technology,Accessories,646.74,6,0,258.696,141.35
Consumer,California,Technology,Phones,494.376,3,0.2,49.4376,141.27
Consumer,Illinois,Technology,Machines,1362.9,3,0.3,-19.47,141.23
Corporate,New York,Technology,Accessories,599.9,10,0,191.968,141.04
Corporate,California,Furniture,Bookcases,1194.165,5,0.15,210.735,140.75
Corporate,Texas,Technology,Phones,1097.544,7,0.2,123.4737,140.6
Corporate,Florida,Office Supplies,Storage,1036.624,2,0.2,51.8312,140.3
Home Office,Pennsylvania,Furniture,Furnishings,1007.232,6,0.2,75.5424,140.13
Corporate,Alabama,Technology,Phones,1394.95,5,0,362.687,140.1
Home Office,Texas,Technology,Phones,758.352,6,0.2,265.4232,140.01
Consumer,New York,Technology,Phones,1349.91,9,0,661.4559,139.79
Corporate,New York,Furniture,Bookcases,1573.488,7,0.2,196.686,139.64
Consumer,California,Technology,Copiers,1199.96,5,0.2,224.9925,139.64
Corporate,California,Office Supplies,Storage,795.48,7,0,7.9548,139.58
Corporate,California,Furniture,Chairs,717.72,3,0.2,71.772,139.52
Consumer,Kentucky,Furniture,Chairs,1207.84,8,0,314.0384,139.47
Consumer,Georgia,Technology,Accessories,499.98,2,0,114.9954,139.02
Consumer,Utah,Furniture,Bookcases,1406.86,7,0,140.686,138.91
Consumer,Virginia,Technology,Copiers,1599.92,8,0,751.9624,138.76
Corporate,Massachusetts,Furniture,Tables,1488.424,7,0.3,-297.6848,138.1
Consumer,California,Office Supplies,Storage,1117.92,4,0,55.896,137.93
Consumer,New York,Office Supplies,Appliances,904.9,5,0,253.372,137.82
Consumer,Pennsylvania,Technology,Copiers,1199.976,4,0.4,179.9964,137.64
Consumer,California,Furniture,Bookcases,1279.165,5,0.15,225.735,137.45
Consumer,Texas,Technology,Phones,470.376,3,0.2,52.9173,137.41
Home Office,New Hampshire,Furniture,Tables,1053.164,4,0.3,-105.3164,137.06
Consumer,Colorado,Furniture,Chairs,483.136,4,0.2,54.3528,136.72
Corporate,Wisconsin,Furniture,Chairs,403.56,4,0,96.8544,136.46
Corporate,Washington,Furniture,Tables,892.98,2,0,80.3682,136.24
Consumer,Nevada,Office Supplies,Storage,1325.85,5,0,238.653,136.24
Corporate,Pennsylvania,Office Supplies,Storage,552.56,5,0.2,-138.14,136.12
Consumer,Nevada,Furniture,Tables,1669.6,4,0,116.872,135.86
Consumer,California,Technology,Phones,775.728,6,0.2,58.1796,135.52
Consumer,Nevada,Technology,Phones,1123.128,9,0.2,70.1955,134.66
Corporate,Ohio,Technology,Phones,1049.97,5,0.4,-209.994,134.64
